imageNumber,pdfPage,requestedCarName,slug,maker,cardName,fileName,publicPath,jsonPath,sourcePdfFile,sourcePdfEmbeddedImage,sha256
1,1,Lamborghini Temerario,lamborghini-temerario,Lamborghini,Temerario,CBJ_KV_Lamborghini_Temerario_accepted.png,/images/cbj/cars/CBJ_KV_Lamborghini_Temerario_accepted.png,data/articles/cars/lamborghini-temerario.json,CBJ_KV_Accepted_ImagesOnly_v4.pdf,page001_img001.png,837b4490ce7981fcb495fb6ec3da51566580409bca661317d8aabc1b3821f2e6
2,2,Nissan Z RZ34,nissan-z-rz34,Nissan,Z,CBJ_KV_Nissan_Z_RZ34_accepted.png,/images/cbj/cars/CBJ_KV_Nissan_Z_RZ34_accepted.png,data/articles/cars/nissan-z-rz34.json,CBJ_KV_Accepted_ImagesOnly_v4.pdf,page002_img001.png,bbeb4bed44fda6ea050328885bc99c28e4fc7b428338755a25dc2ffc5b475eb5
3,3,Toyota GR Supra RZ,toyota-gr-supra-rz,Toyota,GR Supra RZ,CBJ_KV_Toyota_GR_Supra_RZ_accepted.png,/images/cbj/cars/CBJ_KV_Toyota_GR_Supra_RZ_accepted.png,data/articles/cars/toyota-gr-supra-rz.json,CBJ_KV_Accepted_ImagesOnly_v4.pdf,page003_img001.png,292338b2a8c6b5da3c09a292f98f5b2ae3af33d92e129c631936d4d8b5958661
4,4,Honda S660 JW5,honda-s660-jw5,Honda,S660 (JW5),CBJ_KV_Honda_S660_JW5_accepted.png,/images/cbj/cars/CBJ_KV_Honda_S660_JW5_accepted.png,data/articles/cars/honda-s660-jw5.json,CBJ_KV_Accepted_ImagesOnly_v4.pdf,page004_img001.png,4c8ac029e2cb916c7ca4fa55dc95555397dd1e22110569609aabaa9737f6e901
5,5,Suzuki Alto Works HA36S,suzuki-alto-works-ha36s,Suzuki,Alto Works (HA36S),CBJ_KV_Suzuki_Alto_Works_HA36S_accepted.png,/images/cbj/cars/CBJ_KV_Suzuki_Alto_Works_HA36S_accepted.png,data/articles/cars/suzuki-alto-works-ha36s.json,CBJ_KV_Accepted_ImagesOnly_v4.pdf,page005_img001.png,d1fe3d4acf10ce2976771e617a2a03013122d39d29aeb6e17593c706aa3484f2
6,6,Lexus LFA 2010,lexus-lfa-2010,Lexus,LFA (2010),CBJ_KV_Lexus_LFA_2010_accepted.png,/images/cbj/cars/CBJ_KV_Lexus_LFA_2010_accepted.png,data/articles/cars/lexus-lfa-2010.json,CBJ_KV_Accepted_ImagesOnly_v4.pdf,page006_img001.png,59a26a4959dae68ec9f4fd717cd81a852d0a28e26abcdd9c82a5cbed01ee61e6
7,7,Nissan Fairlady Z Z34,nissan-fairlady-z-z34,Nissan,Fairlady Z Z34,CBJ_KV_Nissan_Fairlady_Z_Z34_accepted.png,/images/cbj/cars/CBJ_KV_Nissan_Fairlady_Z_Z34_accepted.png,data/articles/cars/nissan-fairlady-z-z34.json,CBJ_KV_Accepted_ImagesOnly_v4.pdf,page007_img001.png,25774aa598cf8cb6f084c03598813f7f26cbe102871fc068cf009d36f178d0e7
8,8,Honda Civic Type R FD2,honda-civic-type-r-fd2,Honda,Civic Type R (FD2),CBJ_KV_Honda_Civic_Type_R_FD2_accepted.png,/images/cbj/cars/CBJ_KV_Honda_Civic_Type_R_FD2_accepted.png,data/articles/cars/honda-civic-type-r-fd2.json,CBJ_KV_Accepted_ImagesOnly_v4.pdf,page008_img001.png,09cfc18465fd95ad4f11b633b2a424c7c4ddcc6e7934684e57bdff7da41f6e77
9,9,Lexus IS F USE20,lexus-is-f-use20,Lexus,IS F (USE20),CBJ_KV_Lexus_IS_F_USE20_accepted.png,/images/cbj/cars/CBJ_KV_Lexus_IS_F_USE20_accepted.png,data/articles/cars/lexus-is-f-use20.json,CBJ_KV_Accepted_ImagesOnly_v4.pdf,page009_img001.png,84be3dc1621359698d83d7301e0fb636fcb88e129134bda60cde7b8e8bd2b7a9
10,10,Mitsubishi Lancer Evolution X GSR,mitsubishi-lancer-evolution-x-gsr,Mitsubishi,Lancer Evolution X GSR,CBJ_KV_Mitsubishi_Lancer_Evolution_X_GSR_accepted.png,/images/cbj/cars/CBJ_KV_Mitsubishi_Lancer_Evolution_X_GSR_accepted.png,data/articles/cars/mitsubishi-lancer-evolution-x-gsr.json,CBJ_KV_Accepted_ImagesOnly_v4.pdf,page010_img001.png,d0b02f56bd75efdd97e7afa8838f124b9814b50d025e118b3fcc5f3f2f8bc30a
11,11,Nissan GT-R (R35) early,nissan-gt-r-r35-early,Nissan,GT-R (R35) early,CBJ_KV_Nissan_GT-R_R35_early_accepted.png,/images/cbj/cars/CBJ_KV_Nissan_GT-R_R35_early_accepted.png,data/articles/cars/nissan-gt-r-r35-early.json,CBJ_KV_Accepted_ImagesOnly_v4.pdf,page011_img001.png,a8c380b66d25a29494de7f86aa590de98e68a9af195dba70f2dc85000253ddf1
12,12,Nissan GT-R R35,nissan-gtr-r35,Nissan,GT-R R35,CBJ_KV_Nissan_GT-R_R35_accepted.png,/images/cbj/cars/CBJ_KV_Nissan_GT-R_R35_accepted.png,data/articles/cars/nissan-gtr-r35.json,CBJ_KV_Accepted_ImagesOnly_v4.pdf,page012_img001.png,dad706127961ded2f5734a82ca3b7f49c8de4daf64fc3df5e7908998dbbbeae4
13,13,Mitsubishi Lancer Evolution IX GSR,mitsubishi-lancer-evolution-ix-gsr,Mitsubishi,Lancer Evolution IX GSR,CBJ_KV_Mitsubishi_Lancer_Evolution_IX_GSR_accepted.png,/images/cbj/cars/CBJ_KV_Mitsubishi_Lancer_Evolution_IX_GSR_accepted.png,data/articles/cars/mitsubishi-lancer-evolution-ix-gsr.json,CBJ_KV_Accepted_ImagesOnly_v4.pdf,page013_img001.png,c074d8eab99ab9518dfa21258e05d837a1d0d5e13d9e91eb229c4fc038d42fe4
14,14,Lotus Exige (S2),lotus-exige-s2,Lotus,Exige (S2),CBJ_KV_Lotus_Exige_S2_accepted.png,/images/cbj/cars/CBJ_KV_Lotus_Exige_S2_accepted.png,data/articles/cars/lotus-exige-s2.json,CBJ_KV_Accepted_ImagesOnly_v4.pdf,page014_img001.png,31424a9b99791f482893472c59e11be9e0bc3e5397a0f0e9fa1f3508d0d0036c
15,15,Mazda RX-8 (SE3P) Type S,mazda-rx-8-se3p-type-s,Mazda,RX-8 (SE3P) Type S,CBJ_KV_Mazda_RX_8_SE3P_Type_S_accepted.png,/images/cbj/cars/CBJ_KV_Mazda_RX_8_SE3P_Type_S_accepted.png,data/articles/cars/mazda-rx-8-se3p-type-s.json,CBJ_KV_Accepted_ImagesOnly_v4.pdf,page015_img001.png,2adae8c9e72b21b835146a250e16e5e7e1f3e46e0dfe47f6b9f08e03fc739d76
